"","Lowincome_0_6.CLSC_code","Lowincome_0_6.Nom","Lowincome_0_6.Den","Lowincome_0_6.Year"
"1",1111,20.23,1190,2006
"2",1121,65.11,1915,2006
"3",1131,119.795,1235,2006
"4",1141,24.91,530,2006
"5",1151,155.73,2685,2006
"6",1161,120.28,970,2006
"7",1171,85.86,1060,2006
"8",1181,74.16,1030,2006
"9",2111,210.82,1660,2006
"10",2121,75.46,1540,4012
"11",2131,156.52,3010,26078
"12",2141,2313.5,3305,36108
"13",2151,7472.355,3795,40120
"14",2161,359.19,1170,18054
"15",3111,98.9,2300,2006
"16",3121,250.275,3525,32096
"17",3122,200.85,1545,60180
"18",3123,2561.5,2350,30090
"19",3124,637.98,980,22066
"20",3125,3116.325,925,32096
"21",3126,11848.64,2440,38114
"22",3131,5982.625,5725,42126
"23",3132,6067.4,4600,50150
"24",3133,6651.84,4160,36108
"25",3134,57.97,1705,4012
"26",3141,25.01,610,2006
"27",3142,19.63,755,2006
"28",4111,60.69,595,2006
"29",4121,69.35,475,2006
"30",4122,0,555,18054
"31",4131,382.495,1135,24072
"32",4141,519.75,2970,12036
"33",4151,16164.525,4215,46138
"34",4152,2899.665,2115,20060
"35",4161,95.2,1190,2006
"36",4162,89.7,975,2006
"37",4171,589,5890,2006
"38",4181,256.095,4065,2006
"39",4182,80.085,1405,2006
"40",5111,1240.2,2600,44132
"41",5121,592.2,5640,4012
"42",5131,115.68,2410,2006
"43",5141,65.025,1275,2006
"44",5151,1172.45,8950,2006
"45",5161,104.88,1840,2006
"46",5171,114.7,740,2006
"47",5181,89.445,1335,2006
"48",5191,104.91,1345,2006
"49",6111,2055.74,4715,12036
"50",6112,15478.255,5395,36108
"51",6113,334.32,2985,2006
"52",6121,6050.1,3350,24072
"53",6122,17791.6,3800,34102
"54",6211,2265.9,2905,8024
"55",6212,15962.975,3925,34102
"56",6221,7938.66,2580,12036
"57",6222,5104.32,3120,20060
"58",6223,19949.05,2530,40120
"59",6224,31088.07,3510,58174
"60",6225,6252.85,1975,26078
"61",6311,7263.3,1705,22066
"62",6312,5577.35,1655,16048
"63",6313,17961.4,3100,36108
"64",6314,2245.02,930,10030
"65",6321,4441.815,2065,36108
"66",6322,4266.555,2305,54162
"67",6323,8887.19,1370,44132
"68",6324,511.695,415,14042
"69",6411,15669.555,3795,38114
"70",6412,26060.265,4905,28084
"71",6421,25515.525,4585,42126
"72",6422,49224.63,5915,36108
"73",6431,17704.8,3600,52156
"74",6432,6916.5,2385,52156
"75",6511,25922.575,4435,28084
"76",6512,30657.75,5125,40120
"77",6521,5060.51,2905,20060
"78",6522,2931.865,1915,14042
"79",6523,5485.585,2555,24072
"80",6524,5775.3,2070,22066
"81",6531,18909.03,3810,42126
"82",6532,4413.75,1875,20060
"83",6533,19167.84,2610,40120
"84",7111,133.8,1115,4012
"85",7121,95.4,900,2006
"86",7131,1134.36,2055,20060
"87",7151,102.96,720,20060
"88",7152,0,705,34102
"89",8111,39.75,1325,2006
"90",8121,109.59,1405,2006
"91",8131,120.15,2225,2006
"92",8141,174.65,2495,2006
"93",8151,78.225,745,40120
"94",8152,0,240,6018
"95",9111,0,170,6018
"96",9121,0,365,10030
"97",9122,37.5,300,8024
"98",9123,110.76,1560,2006
"99",9131,41.85,450,8024
"100",9141,1844.37,1485,78234
"101",9151,0,265,20060
"102",9161,0,280,14042
"103",9171,0,0,2006
"104",10011,0,105,2006
"105",10012,38.72,160,2006
"106",10013,25,200,2006
"107",10014,52.29,630,4012
"108",11111,34.84,670,2006
"109",11112,55.08,810,2006
"110",11121,118.22,460,16048
"111",11131,0,75,8024
"112",11132,20.96,655,6018
"113",11133,0,55,2006
"114",11141,236.88,720,18054
"115",11211,19.89,585,2006
"116",12111,65.52,1680,2006
"117",12112,1638.81,3930,28084
"118",12113,1508.22,2205,24072
"119",12114,99.195,1945,2006
"120",12115,0,1750,20060
"121",12121,124.8,2080,2006
"122",12131,40.16,1255,2006
"123",12132,188.955,3315,2006
"124",12141,45,900,2006
"125",12151,40.2,1340,2006
"126",12152,0,1010,2006
"127",13111,5845.21,5530,42126
"128",13112,3037.725,2935,28084
"129",13113,13595.19,4305,36108
"130",13114,23518.52,5095,68204
"131",14111,129.465,2055,2006
"132",14112,310.5,2700,2006
"133",14113,460.57,2915,2006
"134",14114,204.48,2130,2006
"135",14121,640.665,9285,2006
"136",14122,442.15,5975,2006
"137",15111,175,1750,2006
"138",15121,125.355,2055,2006
"139",15131,154.84,1580,2006
"140",15141,174.64,1480,2006
"141",15151,503.295,5655,4012
"142",15161,1106.4,6915,6018
"143",15171,698.36,10270,2006
"144",16111,8146.77,6130,14042
"145",16112,5733.82,3820,30090
"146",16121,1168,4000,16048
"147",16122,423.68,6620,26078
"148",16211,15265.26,3490,34102
"149",16212,7858.74,3405,24072
"150",16213,623.295,7695,4012
"151",16221,1028.31,6810,24072
"152",16222,389.2,4865,2006
"153",16223,89.67,915,2006
"154",16231,290.78,2345,2006
"155",16311,370.6,9265,2006
"156",16321,756.675,2565,10030
"157",16331,85.12,1120,2006
"158",16341,887.74,3730,12036
"159",16342,1589.26,6940,14042
"160",16343,65.025,1445,2006
"161",17011,0,0,14042
"162",17012,0,0,14042
"163",18011,0,0,18054
